relative_path,classID,label,video
./clips_rd/aloe/aloe_10_01.wav,0,aloe,10
./clips_rd/aloe/aloe_10_02.wav,0,aloe,10
./clips_rd/aloe/aloe_10_03.wav,0,aloe,10
./clips_rd/aloe/aloe_10_04.wav,0,aloe,10
./clips_rd/aloe/aloe_10_05.wav,0,aloe,10
./clips_rd/aloe/aloe_10_06.wav,0,aloe,10
./clips_rd/aloe/aloe_10_07.wav,0,aloe,10
./clips_rd/aloe/aloe_10_08.wav,0,aloe,10
./clips_rd/aloe/aloe_10_09.wav,0,aloe,10
./clips_rd/aloe/aloe_10_10.wav,0,aloe,10
./clips_rd/aloe/aloe_10_11.wav,0,aloe,10
./clips_rd/aloe/aloe_10_12.wav,0,aloe,10
./clips_rd/aloe/aloe_10_13.wav,0,aloe,10
./clips_rd/aloe/aloe_10_14.wav,0,aloe,10
./clips_rd/aloe/aloe_10_15.wav,0,aloe,10
./clips_rd/aloe/aloe_10_16.wav,0,aloe,10
./clips_rd/aloe/aloe_10_17.wav,0,aloe,10
./clips_rd/aloe/aloe_10_18.wav,0,aloe,10
./clips_rd/aloe/aloe_10_19.wav,0,aloe,10
./clips_rd/aloe/aloe_10_20.wav,0,aloe,10
./clips_rd/aloe/aloe_10_21.wav,0,aloe,10
./clips_rd/aloe/aloe_11_01.wav,0,aloe,11
./clips_rd/aloe/aloe_11_02.wav,0,aloe,11
./clips_rd/aloe/aloe_11_03.wav,0,aloe,11
./clips_rd/aloe/aloe_11_04.wav,0,aloe,11
./clips_rd/aloe/aloe_11_05.wav,0,aloe,11
./clips_rd/aloe/aloe_11_06.wav,0,aloe,11
./clips_rd/aloe/aloe_11_07.wav,0,aloe,11
./clips_rd/aloe/aloe_11_08.wav,0,aloe,11
./clips_rd/aloe/aloe_11_09.wav,0,aloe,11
./clips_rd/aloe/aloe_12_01.wav,0,aloe,12
./clips_rd/aloe/aloe_12_02.wav,0,aloe,12
./clips_rd/aloe/aloe_12_03.wav,0,aloe,12
./clips_rd/aloe/aloe_12_04.wav,0,aloe,12
./clips_rd/aloe/aloe_12_05.wav,0,aloe,12
./clips_rd/aloe/aloe_12_06.wav,0,aloe,12
./clips_rd/aloe/aloe_12_07.wav,0,aloe,12
./clips_rd/aloe/aloe_12_08.wav,0,aloe,12
./clips_rd/aloe/aloe_12_09.wav,0,aloe,12
./clips_rd/aloe/aloe_12_10.wav,0,aloe,12
./clips_rd/aloe/aloe_12_11.wav,0,aloe,12
./clips_rd/aloe/aloe_12_12.wav,0,aloe,12
./clips_rd/aloe/aloe_12_13.wav,0,aloe,12
./clips_rd/aloe/aloe_12_14.wav,0,aloe,12
./clips_rd/aloe/aloe_12_15.wav,0,aloe,12
./clips_rd/aloe/aloe_12_16.wav,0,aloe,12
./clips_rd/aloe/aloe_12_17.wav,0,aloe,12
./clips_rd/aloe/aloe_12_18.wav,0,aloe,12
./clips_rd/aloe/aloe_12_19.wav,0,aloe,12
./clips_rd/aloe/aloe_12_20.wav,0,aloe,12
./clips_rd/aloe/aloe_12_21.wav,0,aloe,12
./clips_rd/aloe/aloe_12_22.wav,0,aloe,12
./clips_rd/aloe/aloe_12_23.wav,0,aloe,12
./clips_rd/aloe/aloe_12_24.wav,0,aloe,12
./clips_rd/aloe/aloe_12_25.wav,0,aloe,12
./clips_rd/aloe/aloe_12_26.wav,0,aloe,12
